Year,week,CES cases
2011,1,65
2011,2,66
2011,3,70
2011,4,51
2011,5,2768
2011,6,1631
2011,7,2132
2011,8,2291
2011,9,2366
2011,10,
2011,11,2482
2011,12,
2011,13,758
2011,14,2460
2011,15,2326
2011,16,3123
2011,17,3050
2011,18,2588
2011,19,3193
2011,20,3193
2011,21,957
2011,22,3389
2011,23,64
2011,24,3150
2011,25,3715
2011,26,1511
2011,27,3834
2011,28,3854
2011,29,3110
2011,30,2449
2011,31,4449
2011,32,
2011,33,4726
2011,34,4402
2011,35,1827
2011,36,5284
2011,37,4484
2011,38,5294
2011,39,6160
2011,40,4749
2011,41,3051
2011,42,3051
2011,43,3051
2011,44,4480
2011,45,2211
2011,46,2926
2011,47,5059
2011,48,3918
2011,49,3624
2011,50,3087
2011,51,3532
2011,52,1225
2011,53,
2012,54,2718
2012,55,2529
2012,56,3289
2012,57,2720
2012,58,2815
2012,59,2631
2012,60,3054
2012,61,2537
2012,62,2064
2012,63,1638
2012,64,1668
2012,65,1958
2012,66,2523
2012,67,2325
2012,68,2612
2012,69,1986
2012,70,3144
2012,71,2885
2012,72,3201
2012,73,3240
2012,74,3745
2012,75,3262
2012,76,3831
2012,77,3001
2012,78,2887
2012,79,3278
2012,80,1154
2012,81,3812
2012,82,4731
2012,83,3735
2012,84,3562
2012,85,4370
2012,86,2530
2012,87,3131
2012,88,1699
2012,89,1150
2012,90,3807
2012,91,3502
2012,92,3274
2012,93,3511
2012,94,3357
2012,95,2704
2012,96,2776
2012,97,3257
2012,98,2975
2012,99,1974
2012,100,2567
2012,101,95
2012,102,2583
2012,103,2802
2012,104,26
2012,105,21
2012,106,
2013,107,1540
2013,108,2627
2013,109,2677
2013,110,2956
2013,111,2644
2013,112,3183
2013,113,2985
2013,114,2696
2013,115,3231
2013,116,2900
2013,117,2128
2013,118,1489
2013,119,1418
2013,120,2089
2013,121,2539
2013,122,1710
2013,123,3704
2013,124,1663
2013,125,2510
2013,126,2955
2013,127,5513
2013,128,3976
2013,129,3861
2013,130,4885
2013,131,2426
2013,132,951
2013,133,2633
2013,134,3983
2013,135,5166
2013,136,3154
2013,137,5160
2013,138,3942
2013,139,4736
2013,140,4550
2013,141,3455
2013,142,3197
2013,143,4778
2013,144,4997
2013,145,5065
2013,146,4728
2013,147,2454
2013,148,4073
2013,149,5579
2013,150,1626
2013,151,4434
2013,152,4177
2013,153,4025
2013,154,3332
2013,155,3322
2013,156,542
2013,157,559
2013,158,367
2013,159,
2014,160,1381
2014,161,1939
2014,162,2567
2014,163,2672
2014,164,1114
2014,165,2516
2014,166,2714
2014,167,2529
2014,168,1767
2014,169,1677
2014,170,2157
2014,171,2102
2014,172,1782
2014,173,2466
2014,174,3194
2014,175,1801
2014,176,2396
2014,177,2592
2014,178,3184
2014,179,2139
2014,180,2576
2014,181,2936
2014,182,2091
2014,183,3365
2014,184,3957
2014,185,3737
2014,186,4820
2014,187,3622
2014,188,3742
2014,189,3027
2014,190,2938
2014,191,4750
2014,192,4238
2014,193,4508
2014,194,5204
2014,195,4302
2014,196,3945
2014,197,3723
2014,198,4938
2014,199,4008
2014,200,4068
2014,201,5130
2014,202,4670
2014,203,4640
2014,204,3914
2014,205,4051
2014,206,668
2014,207,2228
2014,208,2638
2014,209,2603
2014,210,2409
2014,211,1273
2014,212,
2015,213,1844
2015,214,2214
2015,215,2473
2015,216,2561
2015,217,2520
2015,218,2062
2015,219,2131
2015,220,2433
2015,221,2338
2015,222,2599
2015,223,2189
2015,224,2638
2015,225,1757
2015,226,1757
2015,227,2263
2015,228,3666
2015,229,3087
2015,230,3858
2015,231,3661
2015,232,3453
2015,233,3054
2015,234,1772
2015,235,733
2015,236,3115
2015,237,5192
2015,238,4284
2015,239,4681
2015,240,4912
2015,241,4194
2015,242,4898
2015,243,2815
2015,244,3719
2015,245,4705
2015,246,4568
2015,247,4095
2015,248,4482
2015,249,3333
2015,250,2271
2015,251,3435
2015,252,4350
2015,253,4541
2015,254,3235
2015,255,4750
2015,256,3291
2015,257,3606
2015,258,3747
2015,259,4470
2015,260,3662
2015,261,1233
2015,262,3226
2015,263,570
2015,264,765
2015,265,384
