"","month","yy","a_h1n12009","flua","flu"
"1","2014-01-01","2014",1,1,5
"2","2014-02-01","2014",1,1,5
"3","2014-03-01","2014",23,44,46
"4","2014-04-01","2014",18,59,59
"5","2014-05-01","2014",10,39,40
"6","2014-06-01","2014",25,66,69
"7","2014-07-01","2014",36,76,80
"8","2014-08-01","2014",18,48,51
"9","2014-09-01","2014",3,3,4
"10","2014-10-01","2014",5,8,10
"11","2014-11-01","2014",0,0,0
"12","2014-12-01","2014",0,0,0
"13","2015-01-01","2015",1,2,3
"14","2015-02-01","2015",2,2,4
"15","2015-03-01","2015",3,5,9
"16","2015-04-01","2015",17,22,27
"17","2015-05-01","2015",6,9,9
"18","2015-06-01","2015",27,34,38
"19","2015-07-01","2015",70,95,108
"20","2015-08-01","2015",17,30,36
"21","2015-09-01","2015",6,12,16
"22","2015-10-01","2015",9,20,26
"23","2015-11-01","2015",4,5,7
"24","2015-12-01","2015",0,0,0
"25","2016-01-01","2016",0,17,21
"26","2016-02-01","2016",0,8,12
"27","2016-03-01","2016",0,0,3
"28","2016-04-01","2016",0,9,44
"29","2016-05-01","2016",0,9,63
"30","2016-06-01","2016",0,21,61
"31","2016-07-01","2016",0,62,129
"32","2016-08-01","2016",0,236,280
"33","2016-09-01","2016",0,118,122
"34","2016-10-01","2016",0,1,2
"35","2016-11-01","2016",0,0,0
"36","2016-12-01","2016",0,0,0
"37","2017-01-01","2017",0,2,2
"38","2017-02-01","2017",0,5,5
"39","2017-03-01","2017",0,23,24
"40","2017-04-01","2017",0,68,68
"41","2017-05-01","2017",0,106,107
"42","2017-06-01","2017",0,22,23
"43","2017-07-01","2017",4,41,43
"44","2017-08-01","2017",7,19,38
"45","2017-09-01","2017",0,7,19
"46","2017-10-01","2017",2,3,26
"47","2017-11-01","2017",15,15,20
"48","2017-12-01","2017",21,23,29
"49","2018-01-01","2018",2,2,3
"50","2018-02-01","2018",1,1,1
"51","2018-03-01","2018",4,4,5
"52","2018-04-01","2018",9,9,9
"53","2018-05-01","2018",9,9,9
"54","2018-06-01","2018",1,1,2
"55","2018-07-01","2018",0,0,0
"56","2018-08-01","2018",2,2,2
"57","2018-09-01","2018",0,0,1
"58","2018-10-01","2018",0,2,2
"59","2018-11-01","2018",0,0,0
"60","2018-12-01","2018",0,4,4
"61","2019-01-01","2019",0,3,3
"62","2019-02-01","2019",0,0,1
"63","2019-03-01","2019",0,0,0
"64","2019-04-01","2019",0,0,0
"65","2019-05-01","2019",0,2,3
"66","2019-06-01","2019",0,0,1
"67","2019-07-01","2019",4,12,21
"68","2019-08-01","2019",4,20,23
"69","2019-09-01","2019",7,14,23
"70","2019-10-01","2019",10,28,37
"71","2019-11-01","2019",13,25,45
"72","2019-12-01","2019",10,15,24
"73","2020-01-01","2020",0,0,0
"74","2020-02-01","2020",0,0,0
"75","2020-03-01","2020",0,0,0
"76","2020-04-01","2020",0,0,0
"77","2020-05-01","2020",0,0,0
"78","2020-06-01","2020",0,0,0
"79","2020-07-01","2020",0,0,0
"80","2020-08-01","2020",0,0,0
"81","2020-09-01","2020",0,0,0
"82","2020-10-01","2020",0,0,0
"83","2020-11-01","2020",0,0,0
"84","2020-12-01","2020",0,0,0
"85","2021-01-01","2021",0,0,0
"86","2021-02-01","2021",0,3,4
"87","2021-03-01","2021",0,1,1
"88","2021-04-01","2021",0,12,12
"89","2021-05-01","2021",0,55,55
"90","2021-06-01","2021",0,6,6
"91","2021-07-01","2021",0,6,6
"92","2021-08-01","2021",0,0,0
"93","2021-09-01","2021",0,4,4
"94","2021-10-01","2021",0,4,4
"95","2021-11-01","2021",0,4,5
"96","2021-12-01","2021",0,4,6
"97","2022-01-01","2022",0,7,7
"98","2022-02-01","2022",0,30,49
"99","2022-03-01","2022",12,81,114
"100","2022-04-01","2022",19,35,65
"101","2022-05-01","2022",23,23,46
"102","2022-06-01","2022",22,22,47
"103","2022-07-01","2022",15,15,25
"104","2022-08-01","2022",18,18,30
"105","2022-09-01","2022",0,0,5
"106","2022-10-01","2022",9,12,17
"107","2022-11-01","2022",3,3,10
"108","2022-12-01","2022",2,2,3
"109","2023-01-01","2023",7,11,21
"110","2023-02-01","2023",5,8,10
"111","2023-03-01","2023",9,13,16
"112","2023-04-01","2023",13,19,25
"113","2023-05-01","2023",3,13,14
"114","2023-06-01","2023",2,13,16
"115","2023-07-01","2023",2,29,33
"116","2023-08-01","2023",2,19,26
"117","2023-09-01","2023",2,15,15
"118","2023-10-01","2023",0,9,12
"119","2023-11-01","2023",0,25,26
"120","2023-12-01","2023",1,15,16
"121","2024-01-01","2024",0,4,4
"122","2024-02-01","2024",0,2,3
